Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2023,196.412578211," (adjusted for inflation, 2024 dollars)",2023,,$196.4M,$17.6B,,$17611.4B,196.412578211,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Download Single,Value (Adjusted),2024,162.379899089," (adjusted for inflation, 2024 dollars)",2024,,$162.4M,$17.7B,,$17674.6B,162.379899089,2024
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2005,1.606190476," (adjusted for inflation, 2024 dollars)",2005,,$1.6M,$19.7B,,$19739.9B,1.606190476,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2006,2.956394345," (adjusted for inflation, 2024 dollars)",2006,,$3.0M,$18.3B,,$18297.7B,2.956394345,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2007,3.933556154," (adjusted for inflation, 2024 dollars)",2007,,$3.9M,$16.1B,,$16113.8B,3.933556154,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2008,3.788109780," (adjusted for inflation, 2024 dollars)",2008,,$3.8M,$12.8B,,$12787.5B,3.788109780,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2009,9.211654400," (adjusted for inflation, 2024 dollars)",2009,,$9.2M,$11.5B,,$11450.2B,9.211654400,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2010,9.206853285," (adjusted for inflation, 2024 dollars)",2010,,$9.2M,$10.1B,,$10089.8B,9.206853285,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2011,3.765288812," (adjusted for inflation, 2024 dollars)",2011,,$3.8M,$10.0B,,$9951.0B,3.765288812,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2012,4.992464942," (adjusted for inflation, 2024 dollars)",2012,,$5.0M,$9.6B,,$9585.4B,4.992464942,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2013,8.326551918," (adjusted for inflation, 2024 dollars)",2013,,$8.3M,$9.5B,,$9473.1B,8.326551918,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2014,3.422143249," (adjusted for inflation, 2024 dollars)",2014,,$3.4M,$8.9B,,$8870.9B,3.422143249,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2015,4.897505362," (adjusted for inflation, 2024 dollars)",2015,,$4.9M,$8.9B,,$8881.7B,4.897505362,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2016,3.847697431," (adjusted for inflation, 2024 dollars)",2016,,$3.8M,$9.8B,,$9791.6B,3.847697431,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2017,2.885477007," (adjusted for inflation, 2024 dollars)",2017,,$2.9M,$10.9B,,$10881.9B,2.885477007,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2018,2.454783227," (adjusted for inflation, 2024 dollars)",2018,,$2.5M,$12.2B,,$12165.2B,2.454783227,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2019,1.946586137," (adjusted for inflation, 2024 dollars)",2019,,$1.9M,$13.6B,,$13639.5B,1.946586137,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2020,1.426429607," (adjusted for inflation, 2024 dollars)",2020,,$1.4M,$14.7B,,$14748.9B,1.426429607,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2021,0.868760881," (adjusted for inflation, 2024 dollars)",2021,,$0.9M,$17.4B,,$17391.8B,0.868760881,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Kiosk,Value (Adjusted),2022,0.424571070," (adjusted for inflation, 2024 dollars)",2022,,$0.4M,$17.0B,,$17035.5B,0.424571070,2022
1973,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1973,8803.074189189," (adjusted for inflation, 2024 dollars)",1973,$8.8B,,$14.2B,,$14247.4B,8803.074189189,1973
1974,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1974,8628.038215010," (adjusted for inflation, 2024 dollars)",1974,$8.6B,,$14.0B,,$13996.4B,8628.038215010,1974
1975,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1975,8658.516078067," (adjusted for inflation, 2024 dollars)",1975,$8.7B,,$13.9B,,$13926.5B,8658.516078067,1975
1976,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1976,9168.098541301," (adjusted for inflation, 2024 dollars)",1976,$9.2B,,$15.1B,,$15089.6B,9168.098541301,1976
1977,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1977,11362.685212871," (adjusted for inflation, 2024 dollars)",1977,$11.4B,,$18.1B,,$18121.5B,11362.685212871,1977
1978,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1978,11899.493921779," (adjusted for inflation, 2024 dollars)",1978,$11.9B,,$19.9B,,$19876.9B,11899.493921779,1978
1979,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1979,8887.855," (adjusted for inflation, 2024 dollars)",1979,$8.9B,,$15.9B,,$15881.0B,8887.855,1979
1980,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1980,8375.191747573," (adjusted for inflation, 2024 dollars)",1980,$8.4B,,$14.0B,,$14017.0B,8375.191747573,1980
1981,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1981,8081.028947195," (adjusted for inflation, 2024 dollars)",1981,$8.1B,,$13.7B,,$13713.6B,8081.028947195,1981
1982,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1982,6257.851750259," (adjusted for inflation, 2024 dollars)",1982,$6.3B,,$11.8B,,$11795.4B,6257.851750259,1982
1983,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1983,5319.485150602," (adjusted for inflation, 2024 dollars)",1983,$5.3B,,$11.9B,,$11925.2B,5319.485150602,1983
1984,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1984,4676.049308951," (adjusted for inflation, 2024 dollars)",1984,$4.7B,,$13.1B,,$13087.1B,4676.049308951,1984
1985,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1985,3733.074019517," (adjusted for inflation, 2024 dollars)",1985,$3.7B,,$12.7B,,$12718.1B,3733.074019517,1985
1986,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1986,2813.469771898," (adjusted for inflation, 2024 dollars)",1986,$2.8B,,$13.3B,,$13282.3B,2813.469771898,1986
1987,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1987,2190.024171655," (adjusted for inflation, 2024 dollars)",1987,$2.2B,,$15.4B,,$15364.1B,2190.024171655,1987
1988,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1988,1411.202754015," (adjusted for inflation, 2024 dollars)",1988,$1.4B,,$16.6B,,$16585.2B,1411.202754015,1988
1989,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1989,557.303925," (adjusted for inflation, 2024 dollars)",1989,,$557.3M,$16.6B,,$16646.3B,557.303925,1989
1990,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1990,207.605956389," (adjusted for inflation, 2024 dollars)",1990,,$207.6M,$18.1B,,$18099.2B,207.605956389,1990
1991,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1991,67.712603524," (adjusted for inflation, 2024 dollars)",1991,,$67.7M,$18.0B,,$18043.3B,67.712603524,1991
1992,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1992,30.183902352," (adjusted for inflation, 2024 dollars)",1992,,$30.2M,$20.2B,,$20176.3B,30.183902352,1992
1993,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1993,23.011096194," (adjusted for inflation, 2024 dollars)",1993,,$23.0M,$21.8B,,$21809.7B,23.011096194,1993
1994,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1994,37.676546559," (adjusted for inflation, 2024 dollars)",1994,,$37.7M,$25.5B,,$25543.9B,37.676546559,1994
1995,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1995,51.664001969," (adjusted for inflation, 2024 dollars)",1995,,$51.7M,$25.4B,,$25359.2B,51.664001969,1995
1996,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1996,73.573965583," (adjusted for inflation, 2024 dollars)",1996,,$73.6M,$25.1B,,$25058.7B,73.573965583,1996
1997,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1997,65.083138318," (adjusted for inflation, 2024 dollars)",1997,,$65.1M,$23.9B,,$23916.2B,65.083138318,1997
1998,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1998,65.432061350," (adjusted for inflation, 2024 dollars)",1998,,$65.4M,$26.4B,,$26386.8B,65.432061350,1998
1999,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),1999,59.875811525," (adjusted for inflation, 2024 dollars)",1999,,$59.9M,$27.5B,,$27461.3B,59.875811525,1999
2000,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2000,50.459844948," (adjusted for inflation, 2024 dollars)",2000,,$50.5M,$26.1B,,$26092.8B,50.459844948,2000
2001,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2001,48.532346697," (adjusted for inflation, 2024 dollars)",2001,,$48.5M,$24.3B,,$24348.0B,48.532346697,2001
2002,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2002,35.745550306," (adjusted for inflation, 2024 dollars)",2002,,$35.7M,$22.0B,,$21998.0B,35.745550306,2002
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2003,36.994844022," (adjusted for inflation, 2024 dollars)",2003,,$37.0M,$20.2B,,$20209.8B,36.994844022,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2004,32.049749603," (adjusted for inflation, 2024 dollars)",2004,,$32.0M,$20.5B,,$20500.4B,32.049749603,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2005,22.807904762," (adjusted for inflation, 2024 dollars)",2005,,$22.8M,$19.7B,,$19739.9B,22.807904762,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2006,24.429153274," (adjusted for inflation, 2024 dollars)",2006,,$24.4M,$18.3B,,$18297.7B,24.429153274,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2007,34.645552276," (adjusted for inflation, 2024 dollars)",2007,,$34.6M,$16.1B,,$16113.8B,34.645552276,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2008,82.609932514," (adjusted for inflation, 2024 dollars)",2008,,$82.6M,$12.8B,,$12787.5B,82.609932514,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2009,93.286277891," (adjusted for inflation, 2024 dollars)",2009,,$93.3M,$11.5B,,$11450.2B,93.286277891,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2010,127.888946417," (adjusted for inflation, 2024 dollars)",2010,,$127.9M,$10.1B,,$10089.8B,127.888946417,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2011,166.509438559," (adjusted for inflation, 2024 dollars)",2011,,$166.5M,$10.0B,,$9951.0B,166.509438559,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2012,219.592216836," (adjusted for inflation, 2024 dollars)",2012,,$219.6M,$9.6B,,$9585.4B,219.592216836,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2013,283.771349132," (adjusted for inflation, 2024 dollars)",2013,,$283.8M,$9.5B,,$9473.1B,283.771349132,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2014,323.111288561," (adjusted for inflation, 2024 dollars)",2014,,$323.1M,$8.9B,,$8870.9B,323.111288561,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2015,441.223937192," (adjusted for inflation, 2024 dollars)",2015,,$441.2M,$8.9B,,$8881.7B,441.223937192,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2016,464.547953820," (adjusted for inflation, 2024 dollars)",2016,,$464.5M,$9.8B,,$9791.6B,464.547953820,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2017,497.191828534," (adjusted for inflation, 2024 dollars)",2017,,$497.2M,$10.9B,,$10881.9B,497.191828534,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2018,523.704797948," (adjusted for inflation, 2024 dollars)",2018,,$523.7M,$12.2B,,$12165.2B,523.704797948,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2019,632.480285038," (adjusted for inflation, 2024 dollars)",2019,,$632.5M,$13.6B,,$13639.5B,632.480285038,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2020,844.017440646," (adjusted for inflation, 2024 dollars)",2020,,$844.0M,$14.7B,,$14748.9B,844.017440646,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2021,1257.520952927," (adjusted for inflation, 2024 dollars)",2021,$1.3B,,$17.4B,,$17391.8B,1257.520952927,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2022,1312.385783970," (adjusted for inflation, 2024 dollars)",2022,$1.3B,,$17.0B,,$17035.5B,1312.385783970,2022
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2023,1389.982072969," (adjusted for inflation, 2024 dollars)",2023,$1.4B,,$17.6B,,$17611.4B,1389.982072969,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",LP/EP,Value (Adjusted),2024,1442.903122134," (adjusted for inflation, 2024 dollars)",2024,$1.4B,,$17.7B,,$17674.6B,1442.903122134,2024
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2016,336.281464257," (adjusted for inflation, 2024 dollars)",2016,,$336.3M,$9.8B,,$9791.6B,336.281464257,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2017,727.899077669," (adjusted for inflation, 2024 dollars)",2017,,$727.9M,$10.9B,,$10881.9B,727.899077669,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2018,925.067271248," (adjusted for inflation, 2024 dollars)",2018,,$925.1M,$12.2B,,$12165.2B,925.067271248,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2019,778.059557626," (adjusted for inflation, 2024 dollars)",2019,,$778.1M,$13.6B,,$13639.5B,778.059557626,2019
2020,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2020,870.079921085," (adjusted for inflation, 2024 dollars)",2020,,$870.1M,$14.7B,,$14748.9B,870.079921085,2020
2021,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2021,1038.452872318," (adjusted for inflation, 2024 dollars)",2021,$1.0B,,$17.4B,,$17391.8B,1038.452872318,2021
2022,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2022,1139.413918155," (adjusted for inflation, 2024 dollars)",2022,$1.1B,,$17.0B,,$17035.5B,1139.413918155,2022
2023,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2023,1051.542489842," (adjusted for inflation, 2024 dollars)",2023,$1.1B,,$17.6B,,$17611.4B,1051.542489842,2023
2024,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2024,998.328620029," (adjusted for inflation, 2024 dollars)",2024,,$998.3M,$17.7B,,$17674.6B,998.328620029,2024
1989,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),1989,291.93315," (adjusted for inflation, 2024 dollars)",1989,,$291.9M,$16.6B,,$16646.3B,291.93315,1989
1990,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),1990,413.531864575," (adjusted for inflation, 2024 dollars)",1990,,$413.5M,$18.1B,,$18099.2B,413.531864575,1990
1991,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),1991,272.001988987," (adjusted for inflation, 2024 dollars)",1991,,$272.0M,$18.0B,,$18043.3B,272.001988987,1991
1992,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),1992,351.921942979," (adjusted for inflation, 2024 dollars)",1992,,$351.9M,$20.2B,,$20176.3B,351.921942979,1992
1993,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),1993,463.044039446," (adjusted for inflation, 2024 dollars)",1993,,$463.0M,$21.8B,,$21809.7B,463.044039446,1993
1994,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),1994,489.160107287," (adjusted for inflation, 2024 dollars)",1994,,$489.2M,$25.5B,,$25543.9B,489.160107287,1994
1995,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),1995,453.449387795," (adjusted for inflation, 2024 dollars)",1995,,$453.4M,$25.4B,,$25359.2B,453.449387795,1995
1996,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),1996,472.032969407," (adjusted for inflation, 2024 dollars)",1996,,$472.0M,$25.1B,,$25058.7B,472.032969407,1996
1997,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),1997,633.045900935," (adjusted for inflation, 2024 dollars)",1997,,$633.0M,$23.9B,,$23916.2B,633.045900935,1997
1998,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),1998,977.631975460," (adjusted for inflation, 2024 dollars)",1998,,$977.6M,$26.4B,,$26386.8B,977.631975460,1998
1999,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),1999,709.283591236," (adjusted for inflation, 2024 dollars)",1999,,$709.3M,$27.5B,,$27461.3B,709.283591236,1999
2000,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2000,513.524559233," (adjusted for inflation, 2024 dollars)",2000,,$513.5M,$26.1B,,$26092.8B,513.524559233,2000
2001,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2001,583.096661773," (adjusted for inflation, 2024 dollars)",2001,,$583.1M,$24.3B,,$24348.0B,583.096661773,2001
2002,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2002,502.878863813," (adjusted for inflation, 2024 dollars)",2002,,$502.9M,$22.0B,,$21998.0B,502.878863813,2002
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2003,681.762125543," (adjusted for inflation, 2024 dollars)",2003,,$681.8M,$20.2B,,$20209.8B,681.762125543,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2004,1008.321655903," (adjusted for inflation, 2024 dollars)",2004,$1.0B,,$20.5B,,$20500.4B,1008.321655903,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2005,967.247904762," (adjusted for inflation, 2024 dollars)",2005,,$967.2M,$19.7B,,$19739.9B,967.247904762,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2006,701.910257440," (adjusted for inflation, 2024 dollars)",2006,,$701.9M,$18.3B,,$18297.7B,701.910257440,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2007,733.608222647," (adjusted for inflation, 2024 dollars)",2007,,$733.6M,$16.1B,,$16113.8B,733.608222647,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2008,331.168212705," (adjusted for inflation, 2024 dollars)",2008,,$331.2M,$12.8B,,$12787.5B,331.168212705,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2009,306.470279719," (adjusted for inflation, 2024 dollars)",2009,,$306.5M,$11.5B,,$11450.2B,306.470279719,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2010,255.490178670," (adjusted for inflation, 2024 dollars)",2010,,$255.5M,$10.1B,,$10089.8B,255.490178670,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2011,210.577263169," (adjusted for inflation, 2024 dollars)",2011,,$210.6M,$10.0B,,$9951.0B,210.577263169,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.,"Adjusted for Inflation, 2024 Dollars",Music Video (Physical),Value (Adjusted),2012,159.326553388," (adjusted for inflation, 2024 dollars)",2012,,$159.3M,$9.6B,,$9585.4B,159.326553388,2012
